feature,importance
f120,232
f13,220
f121,201
f108,195
f8,193
f5,186
f83,181
f90,176
f12,171
f110,171
f10,169
f16,162
f7,160
f14,160
f0,156
f89,148
f74,144
f84,142
f114,142
f9,142
f119,141
f86,139
f73,133
f15,131
f109,130
f82,130
f87,129
f118,126
f1,122
f11,121
f91,121
f2,120
f78,112
f79,109
f116,107
f104,107
f4,105
f113,105
f92,103
f107,103
f85,102
f17,102
f111,95
f88,95
f93,93
f106,92
f115,88
f94,86
f95,84
f76,83
f112,80
f105,80
f103,79
f100,79
f75,74
f102,73
f117,72
f18,71
f99,71
f96,69
f101,69
f77,68
f6,64
f97,62
f98,56
f81,55
f80,54
f3,49
