epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.005,0.39277,1.6596,0.98511,0.99713,0.97667,0.99464,0.92956,0.37975,2.10578,0.90165,0.00036,0.00036,0.00036
2,268.56,0.39948,0.95672,0.95864,0.98972,0.96316,0.99134,0.9238,0.35587,2.34239,0.88335,0.00071558,0.00071558,0.00071558
3,402.229,0.42002,0.88008,0.94168,0.88405,0.89667,0.95147,0.64511,0.86161,2.66531,1.35809,0.00104608,0.00104608,0.00104608
4,536.597,0.43745,0.81352,0.9437,0.9575,0.97636,0.99107,0.91649,0.44129,1.31171,0.9082,0.0013515,0.0013515,0.0013515
5,670.184,0.44024,0.72659,0.95797,0.67535,0.56167,0.66323,0.49109,0.82383,2.92656,1.20494,0.00163184,0.00163184,0.00163184
6,804.619,0.40879,0.6926,0.9376,0.81952,0.65084,0.76594,0.54949,0.95195,2.3698,1.33738,0.00167,0.00167,0.00167
7,937.288,0.41202,0.63384,0.94758,0.6088,0.42,0.47394,0.24109,1.37522,2.72028,1.77521,0.001604,0.001604,0.001604
8,1070.11,0.38966,0.57338,0.91319,0.99411,0.98667,0.99451,0.9448,0.30743,0.84025,0.83387,0.001538,0.001538,0.001538
9,1202.22,0.39252,0.56335,0.91279,0.98005,0.98333,0.99387,0.91372,0.36981,0.90743,0.89872,0.001472,0.001472,0.001472
10,1334.66,0.40535,0.54123,0.93763,0.99253,0.99333,0.99493,0.97197,0.24844,0.58342,0.81556,0.001406,0.001406,0.001406
11,1467.8,0.37526,0.48176,0.91847,0.97054,1,0.99153,0.9725,0.26293,0.57956,0.83043,0.00134,0.00134,0.00134
12,1599.89,0.34382,0.44832,0.90828,0.99331,0.98974,0.9949,0.9846,0.22609,0.54827,0.80986,0.001274,0.001274,0.001274
13,1731.01,0.36673,0.43432,0.91945,0.98564,0.99667,0.99327,0.98272,0.21903,0.50536,0.80122,0.001208,0.001208,0.001208
14,1863.2,0.3547,0.43523,0.90211,0.98803,1,0.9949,0.98862,0.20709,0.4859,0.79542,0.001142,0.001142,0.001142
15,1995.41,0.3571,0.41011,0.9084,0.98609,0.99667,0.99497,0.98877,0.18559,0.42595,0.78749,0.001076,0.001076,0.001076
16,2128.28,0.32734,0.38544,0.91084,0.98861,0.99667,0.99487,0.98375,0.20063,0.40755,0.79237,0.00101,0.00101,0.00101
17,2260.3,0.32702,0.37369,0.90518,0.9874,0.99667,0.99453,0.97363,0.23344,0.46532,0.81431,0.000944,0.000944,0.000944
18,2391.65,0.28892,0.35287,0.8979,0.99434,1,0.995,0.99022,0.17817,0.36629,0.78711,0.000878,0.000878,0.000878
19,2524.44,0.31007,0.3618,0.91971,1,0.99981,0.995,0.98195,0.21466,0.35748,0.80853,0.000812,0.000812,0.000812
20,2658.54,0.28926,0.34225,0.89024,0.99999,1,0.995,0.98795,0.19303,0.31693,0.79083,0.000746,0.000746,0.000746
21,2790.63,0.21806,0.38583,0.81732,0.99973,1,0.995,0.991,0.1736,0.39563,0.78229,0.00068,0.00068,0.00068
22,2922.78,0.20699,0.33848,0.80107,0.99796,1,0.995,0.98808,0.19672,0.32644,0.78822,0.000614,0.000614,0.000614
23,3054.48,0.1941,0.30429,0.79477,0.99635,1,0.99497,0.99255,0.16682,0.29571,0.778,0.000548,0.000548,0.000548
24,3186.43,0.18719,0.29309,0.79758,0.99956,1,0.995,0.99377,0.14962,0.26553,0.77497,0.000482,0.000482,0.000482
25,3318.77,0.17127,0.26658,0.80411,0.99964,1,0.995,0.99348,0.14062,0.25059,0.77127,0.000416,0.000416,0.000416
26,3450.69,0.15933,0.25006,0.79292,0.9998,1,0.995,0.9934,0.12509,0.23244,0.76904,0.00035,0.00035,0.00035
27,3583.16,0.15003,0.23691,0.78744,0.99981,1,0.995,0.99335,0.12737,0.23621,0.76852,0.000284,0.000284,0.000284
28,3716.93,0.14226,0.22252,0.7813,0.99981,1,0.995,0.9933,0.12253,0.2264,0.7672,0.000218,0.000218,0.000218
29,3852.07,0.14479,0.22657,0.79514,0.99982,1,0.995,0.99327,0.10872,0.20919,0.76487,0.000152,0.000152,0.000152
30,4002.15,0.1305,0.21352,0.76633,0.99982,1,0.995,0.99339,0.10414,0.19773,0.76455,8.6e-05,8.6e-05,8.6e-05
